"couleur","nom","position","node_id","id"
"#999999","INFORMATIONS GENERALES","0","4028807d16245e4d0116247888d0793d","5E0F845AA9A537AAD2DD3E0FB248A44E"
"#009900","ENVIRONNEMENT","2","4028807d16245e4d0116247888d0793d","77D3F03B15B1CFEE59C5D16D0BE37123"
"#cc3333","SECURITE","3","4028807d16245e4d0116247888d0793d","7FAE1993C5027CE676D551A2BDFE6C04"
"#0066ff","ENERGIE","5","4028807d16245e4d0116247888d0793d","ABD03ACB00C00FE88EB701362C91F463"
"#6600CC","SURETE - MALVEILLANCE","4","4028807d16245e4d0116247888d0793d","C540C42A14EA11E9B4A4FA163E3BC92C"
"#ff6600","HSE","1","4028807d16245e4d0116247888d0793d","D597C271A829F7FBE0C01FD4109854EE"
